id	image	3D viewer	name	category	super-category	wnsynsetkey	foundIn	hasMultipleObjects	support
006eea1eca393d904a660ddf703ba24a541b9d46		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.006eea1eca393d904a660ddf703ba24a541b9d46	Powder Blue Set of 3 Small Canisters				kitchen	TRUE	
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.00a2b0f3886ccb5ffddac704f8eeec324a5e14c6	Maharani Bookcase	shelves	storage_funiture	bookcase.n.01	living room	TRUE	
00c36e162937f13271f982b5dcafb4d3038e906a		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.00c36e162937f13271f982b5dcafb4d3038e906a					kitchen	TRUE	
00e51823fa6c217c7c3ec4a1c107144ab2e84fc8		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.00e51823fa6c217c7c3ec4a1c107144ab2e84fc8	Laguiole Steak Knives and Forks Boxed Cutlery Set, Stainless Steel, 12-Piece				kitchen,dining room	TRUE	
00ea83bf1b2544df87f6d52d02382c0bb75598c6		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.00ea83bf1b2544df87f6d52d02382c0bb75598c6	Multi divider bookcase	shelves	storage_funiture	bookcase.n.01		TRUE	
0116bdbe11d047a4872a067ceb84b3c5552f73cc		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.0116bdbe11d047a4872a067ceb84b3c5552f73cc	Mug Tree in Cadillac Pink 4528				kitchen	TRUE	
011f58b2c0025f1efd8d9935e18eb47a1f8bd872		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.011f58b2c0025f1efd8d9935e18eb47a1f8bd872	Magnolia Home Garden Gate Full Canopy Bed by Joanna Gaines	bed	sleeping_furniture	bed.n.01	bedroom	TRUE	
0128475579600f804ec7ef1cf8a212622760cfd1		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.0128475579600f804ec7ef1cf8a212622760cfd1	Liquorice Espresso Cup and Saucer			cup.n.01,saucer.n.02	kitchen,dining room	TRUE	
01a976d8dd0f7a1f35b01709c20fca6683b94311		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.01a976d8dd0f7a1f35b01709c20fca6683b94311	Cooke & Lewis Exuberance Quadrant Shower Enclosure, Tray & Waste Pack with Double Sliding Doors (W)900mm (D)900mm	shower	bathroom_fixtures	shower_stall.n.01	bathroom	TRUE	
01c345f255021ade972594d4e9687e18d0391d63		https://aspis.cmpt.sfu.ca/scene-toolkit-fp/model-viewer?extra&modelId=fpModel.01c345f255021ade972594d4e9687e18d0391d63	Round dining table + 6 chairs			dining_area.n.01	living room,dining room	TRUE	
